样本编号,视频文件名,原始转写文本 (Raw Text),情感极性预测 (Polarity),情感强度预测 (Intensity),主要参考模态 (Primary Modality),文本模态贡献度 (Text %),语音模态贡献度 (Audio %),视觉模态贡献度 (Vision %),关键证据时序步长区间,时间步显著性序列 (Saliency JSON),语音/视频关键时间段 (秒),视觉关键视频帧区间 (Frame),文本核心情感关键词句
test_11,11.mp4,I would be ashamed to have made this film if I was a director,Negative,-0.9428,视觉模态 (Vision),25.95,36.16,37.89,"[2, 4]","[0.986523, 0.99613, 0.999253, 0.998639, 1.0, 0.998906, 0.991616, 0.989051, 0.992056, 0.989909, 0.988317, 0.989214, 0.989487, 0.995803, 0.991283, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523, 0.986523]",0.46s - 1.14s,13 - 34帧,I
test_12,12.mp4,"Or worse, an individual previously had good credit, but usually by no fault of their own, or perhaps by fault of their own, they have let their credit sag, and credit scores is very low.",Negative,-1.0051,文本模态 (Text),64.02,8.14,27.84,"[44, 46]","[0.84928, 0.914658, 0.891443, 0.900703, 1.0, 0.939212, 0.871223, 0.857782, 0.854899, 0.896103, 0.908813, 0.843313, 0.841803, 0.792291, 0.824948, 0.82218, 0.856515, 0.869293, 0.871459, 0.861379, 0.8795, 0.820359, 0.806479, 0.826081, 0.818516, 0.864738, 0.845243, 0.86375, 0.909584, 0.834027, 0.800965, 0.878296, 0.873301, 0.854166, 0.844435, 0.862389, 0.831863, 0.886887, 0.904705, 0.836908, 0.82004, 0.862138, 0.921499, 0.88719, 0.964111, 0.949204, 0.960345, 0.960083, 0.932398, 0.927005]",17.86s - 19.08s,535 - 572帧,credit scores
test_13,13.mp4,"For example, I could take a set of data and from that data, I can find a relationship between any two of the given factors or more.",Neutral,0.2428,文本模态 (Text),88.75,8.05,3.19,"[1, 3]","[0.839783, 0.991121, 0.922879, 0.99224, 0.948383, 0.963778, 0.946084, 0.944765, 0.857278, 0.916286, 0.904388, 0.857002, 0.878171, 0.849758, 0.851962, 0.943899, 0.862572, 0.838028, 0.806895, 0.825245, 0.837843, 0.935127, 0.786628, 0.853114, 0.851042, 0.85295, 0.840478, 0.940606, 0.833359, 0.868668, 0.944929, 0.95513, 0.953945, 0.963165, 0.914015, 1.0, 0.884405, 0.904457, 0.975607, 0.86801, 0.872151, 0.936485, 0.929606, 0.872887, 0.888267, 0.827296, 0.821938, 0.836728, 0.804478, 0.865517]",0.17s - 0.69s,5 - 20帧,"For example,"
test_14,14.mp4,He is the co-founder of Rossen and Vettese Limited and the former Executive Director of Uniform Final Examination (UFE) courses at Toronto's York University.,Neutral,0.479,文本模态 (Text),71.05,14.18,14.77,"[26, 28]","[1.0, 0.950514, 0.95876, 0.965443, 0.961953, 0.947569, 0.971877, 0.974976, 0.946132, 0.948434, 0.973903, 0.950758, 0.936394, 0.962537, 0.983247, 0.961397, 0.961354, 0.964029, 0.966691, 0.923294, 0.970618, 0.973015, 0.962938, 0.973227, 0.951573, 0.935058, 0.966861, 0.963356, 0.989992, 0.95635, 0.962658, 0.964207, 0.95858, 0.97066, 0.975848, 0.969235, 0.969657, 0.948608, 0.948521, 0.938272, 0.950359, 0.947134, 0.937304, 0.940932, 0.941433, 0.953057, 0.95516, 0.968178, 0.969444, 0.962311]",7.19s - 8.02s,215 - 240帧,Executive
test_15,15.mp4,"However, despite their poverty, the family prioritize education because they believed in its power to transform lives",Positive,0.932,文本模态 (Text),45.92,28.7,25.38,"[19, 21]","[0.940905, 0.876211, 0.865748, 0.878439, 0.926041, 0.928601, 0.870532, 0.887663, 0.916871, 0.920224, 0.955099, 0.930136, 0.94245, 0.92837, 0.931593, 0.925856, 0.914933, 0.918368, 0.947168, 0.962128, 1.0, 0.951278, 0.916279, 0.911019, 0.901245, 0.89667, 0.887827, 0.880099, 0.890852, 0.902311, 0.918823, 0.906612, 0.887951, 0.946529, 0.938552, 0.947695, 0.934938, 0.949013, 0.949085, 0.892448, 0.88602, 0.911965, 0.908583, 0.891958, 0.91049, 0.922459, 0.907701, 0.97645, 0.911522, 0.974197]",2.79s - 3.23s,83 - 96帧,prioritize
test_16,16.mp4,"It's a terrible, this is a terrible movie",Negative,-2.4428,文本模态 (Text),81.33,8.92,9.76,"[27, 29]","[0.957117, 0.977183, 0.98668, 0.983888, 0.973812, 0.973965, 0.951033, 0.986866, 0.977524, 0.973073, 0.972112, 0.968593, 0.98891, 0.973591, 0.972997, 0.971841, 0.975621, 0.969635, 0.976808, 0.972697, 0.970062, 0.968773, 0.973426, 0.975261, 0.97047, 0.975543, 0.978103, 0.980128, 0.998971, 1.0, 0.977013, 0.973939, 0.97155, 0.97107, 0.976892, 0.962752, 0.96685, 0.967472, 0.972279, 0.97067, 0.971874, 0.974426, 0.970994, 0.976084, 0.977069, 0.972402, 0.967622, 0.974347, 0.984085, 0.97888]",3.01s - 3.34s,90 - 100帧,is
test_17,17.mp4,"Applying these four design concepts to your presentations is simple, easy and will make people think you turned into a design guru.",Positive,1.4784,文本模态 (Text),87.8,5.79,6.42,"[9, 11]","[0.932543, 0.924858, 0.881493, 0.908165, 0.938809, 0.934749, 0.931242, 0.93459, 0.910372, 0.962611, 0.936386, 1.0, 0.923774, 0.952526, 0.934952, 0.904078, 0.88496, 0.88769, 0.941113, 0.908094, 0.919404, 0.92052, 0.913063, 0.92526, 0.894239, 0.948823, 0.915388, 0.900861, 0.890423, 0.901166, 0.883481, 0.887823, 0.877726, 0.874206, 0.882318, 0.893067, 0.89249, 0.910951, 0.89254, 0.940018, 0.903018, 0.926521, 0.896994, 0.87889, 0.848337, 0.852603, 0.867087, 0.839455, 0.839477, 0.859687]",2.51s - 3.35s,75 - 100帧,design concepts
test_18,18.mp4,"-And in Denmark - the first Baltic Cod fishery has been MSC – certified -Meanwhile, the Faeroese Mackerel Fishery has been denied MSC certification based on the fact that the fishery has failed to reach an agreement on mackerel quotas with Norway and the European Union.",Negative,-0.3386,文本模态 (Text),41.67,29.65,28.68,"[34, 36]","[0.873217, 0.875975, 0.900116, 0.895622, 0.870355, 0.855436, 0.859719, 0.851815, 0.911777, 0.885585, 0.901605, 0.896469, 0.900833, 0.950946, 0.871794, 0.874413, 0.855118, 0.941363, 0.918011, 0.88327, 0.819596, 0.866621, 0.863148, 0.914779, 0.93435, 0.903295, 0.931463, 0.965913, 0.952941, 0.971125, 0.954801, 0.915828, 0.994455, 0.95577, 0.938869, 1.0, 0.969876, 0.93006, 0.947074, 0.968677, 0.972772, 0.934312, 0.89225, 0.900168, 0.884699, 0.8535, 0.906943, 0.924775, 0.890732, 0.932671]",15.55s - 16.92s,466 - 507帧,has failed to
test_19,19.mp4,"People are surprisingly forgiving brands when they own up to mistakes, and unfortunately some haters out there love to point fingers and jump all over imperfections, but for the most part, people understand",Positive,0.5808,文本模态 (Text),45.52,26.61,27.87,"[34, 36]","[0.930228, 0.744679, 0.77235, 0.868106, 0.690361, 0.626896, 0.716817, 0.773793, 0.647968, 0.583153, 0.718728, 0.620285, 0.669831, 0.733593, 0.760576, 0.723983, 0.761147, 0.660894, 0.635151, 0.696923, 0.76447, 0.701657, 0.686114, 0.644209, 0.697713, 0.840627, 0.597634, 0.810813, 0.682862, 0.683281, 0.626809, 0.838127, 0.830833, 0.899719, 0.87504, 1.0, 0.969449, 0.844377, 0.948058, 0.895888, 0.838492, 0.940765, 0.909825, 0.919442, 0.885379, 0.868267, 0.74938, 0.645575, 0.732955, 0.71887]",12.72s - 13.84s,381 - 415帧,jump all
test_20,20.mp4,"And of course, click in the link of the description of this video for more, and we'll have more live updates and a stock market video (wrap-up) at the end of the day today.",Positive,0.9233,文本模态 (Text),78.22,10.84,10.94,"[28, 30]","[0.951999, 0.899052, 0.911672, 0.881939, 0.915191, 0.913352, 0.92661, 0.946675, 0.91777, 0.963408, 0.948952, 0.944903, 0.945705, 0.941467, 0.970159, 0.916992, 0.937612, 0.919655, 0.883018, 0.929708, 0.943506, 0.90259, 0.885134, 0.908563, 0.936604, 0.942617, 0.854773, 0.911335, 1.0, 0.990218, 0.940791, 0.925285, 0.926672, 0.942428, 0.937467, 0.924172, 0.885884, 0.922585, 0.925057, 0.921454, 0.941903, 0.946479, 0.946787, 0.959956, 0.927338, 0.939626, 0.930172, 0.935285, 0.932289, 0.935779]",10.47s - 11.59s,314 - 347帧,live updates
